226	Sp	532	55.05	-124.81	1075	1.1	12.6	-10.9	23.5	781	317	14.2	39.8	1321	810	137	166	247	81	399	-42.2	30.3	458	113	Sp_532
149	Sp	455	50.38	-121.56	1450	2.9	13.3	-7.6	20.9	513	181	25.1	73.6	932	974	149	163	256	93	242	-38.6	32.3	536	302	Sp_455
229	Sp	535	54.13	-126.5	900	2.5	13.4	-9.6	23	502	220	24.9	61	1053	986	151	162	255	93	206	-39.3	32	499	242	Sp_535
3	Sp	306	54.53	-114.08	640	1.4	16	-16.1	32.1	502	347	22.7	46.1	1728	1299	154	145	251	107	122	-46.3	33.5	547	158	Sp_306
86	Sp	392	54.8	-111.29	610	0.7	16.1	-18.3	34.4	469	324	22.8	49.7	1933	1268	150	147	248	101	117	-45.5	34.4	547	181	Sp_392
100	Sp	406	58.73	-118.75	279	-1.2	16.6	-23.3	39.9	393	242	22.4	68.6	2566	1270	144	146	247	101	131	-46.4	35.7	516	239	Sp_406
237	Sp	543	55.68	-124.35	1200	0.5	12	-11.3	23.3	745	365	14.1	32.9	1396	726	139	161	249	88	335	-42	29.3	414	37	Sp_543
163	Sp	469	54.93	-127.41	625	3.2	14.1	-8.9	23	662	262	19.9	53.7	951	1096	162	155	258	103	267	-38.4	32.6	505	207	Sp_469
153	Sp	459	53.53	-124.78	1021	1.5	12.3	-10.8	23.1	532	251	21.6	49	1218	826	128	175	244	69	226	-42.7	31.5	507	212	Sp_459
172	Sp	478	49.65	-119.46	1725	2	12.9	-8.1	21	811	334	14.8	38.7	1063	849	139	164	251	86	398	-38.2	31.9	506	103	Sp_478
215	Sp	521	55.55	-125.96	922	2.4	13.8	-9.3	23.1	611	274	20.3	50.4	1098	1009	146	165	251	86	252	-38.7	33.1	501	193	Sp_521
218	Sp	524	53.15	-122.6	700	4.1	15.5	-9.5	25	587	282	24	54.9	921	1323	168	148	259	111	198	-39.3	34.2	573	238	Sp_524
118	Sp	424	50.93	-119.86	1575	2.1	12.9	-8.5	21.4	748	334	16.2	38.6	1049	872	143	162	251	89	327	-38.8	31.9	498	107	Sp_424
48	Sp	353	55.39	-112.47	609	0.5	15.7	-17.8	33.5	466	324	22.5	48.4	1922	1205	146	153	247	94	116	-46.6	33.5	534	170	Sp_353
241	Sp	547	51.3	-122.75	1550	0.2	10.8	-12.4	23.2	559	233	18.2	46.3	1405	606	87	191	225	34	298	-44.5	31.3	525	238	Sp_547
38	Sp	343	56.63	-110.78	366	-0.3	16.6	-21.7	38.3	451	294	21.5	56.5	2288	1285	147	150	249	100	127	-45.4	35.5	535	200	Sp_343
35	Sp	340	55.66	-115.01	670	0.9	15.4	-16.8	32.2	542	370	20.1	41.6	1782	1177	150	147	252	105	139	-45.4	32.8	507	99	Sp_340
237	Sp	543	55.68	-124.35	1200	0.5	12	-11.3	23.3	745	365	14.1	32.9	1396	726	139	161	249	88	335	-42	29.3	414	37	Sp_543
92	Sp	398	56.63	-115.28	640	-0.1	15.4	-19.8	35.2	452	291	21.9	53	2059	1148	145	149	249	100	134	-45.2	33.5	501	172	Sp_398
246	Sp	552	55.54	-120.75	1000	1.7	14.4	-11.4	25.8	632	364	18.5	39.6	1383	1067	151	150	254	104	219	-43.3	31.4	485	90	Sp_552
24	Sp	329	51.05	-114.75	1311	2.6	14.1	-10.5	24.6	558	339	22.6	41.6	1129	1062	135	166	242	77	156	-43.3	33.5	585	161	Sp_329
224	Sp	530	57.23	-125.51	1200	-0.8	12.1	-13.5	25.6	502	250	18.3	48.3	1766	685	117	175	237	62	247	-46.2	29.3	393	128	Sp_530
112	Sp	418	50.51	-122.11	875	4.3	13.7	-5.6	19.3	873	234	16.4	58.6	652	1123	165	159	268	108	347	-35.1	33	576	273	Sp_418
239	Sp	545	59.85	-123.85	250	-0.8	16.5	-19.3	35.8	445	295	20.7	56	2364	1241	144	150	251	101	129	-49.8	33.6	488	156	Sp_545
197	Sp	503	56.21	-122	800	1.5	14.5	-13	27.5	532	323	21.6	44.9	1506	1106	148	152	252	99	170	-43.6	32.1	505	145	Sp_503
147	Sp	453	49.3	-120.78	1700	1.9	12.5	-7.2	19.7	1264	282	9.4	44.4	1008	773	141	171	257	86	775	-36.9	31.3	477	138	Sp_453
79	Sp	385	55.59	-113.33	823	-0.6	14.4	-19.3	33.7	500	338	18.8	42.6	2073	996	137	159	243	84	143	-46.4	32.1	490	113	Sp_385
23	Sp	328	54.91	-112.96	579	1.2	16	-16.9	32.9	463	319	24.2	50.2	1790	1275	154	146	252	106	117	-46.1	33.6	533	177	Sp_328
5	Sp	308	55.58	-119.58	838	1.3	14.5	-14.5	29	534	326	21.2	44.4	1588	1107	149	148	251	103	173	-46.2	32.2	496	132	Sp_308
139	Sp	445	49.38	-116.5	1820	0.7	12.5	-10.2	22.7	1118	348	9.6	36	1351	731	128	169	245	76	706	-42.3	30.4	439	83	Sp_445
211	Sp	517	54.3	-122	750	2.7	14.5	-10.7	25.2	894	353	14.2	41.1	1157	1128	153	156	253	97	390	-41.4	33	531	146	Sp_517
59	Sp	364	53.3	-116.12	1020	2.2	14.5	-11.7	26.2	605	443	20.2	32.8	1287	1115	148	153	251	99	126	-44.9	31.9	530	62	Sp_364
139	Sp	445	49.38	-116.5	1820	0.7	12.5	-10.2	22.7	1118	348	9.6	36	1351	731	128	169	245	76	706	-42.3	30.4	439	83	Sp_445
